"shop";"url";"type";"name";"ingredients";"val.energ.kcalp100";"val.energ.pkcalpj";"val.energ.kjp100";"val.energ.pkjpj";"mat.grasses.gp100";"dont.acides.gras.satures.gp100";"mat.grasses.ppj";"dont.acides.gras.satures.ppj";"glucides.gp100";"dont.sucres.gp100";"glucides.ppj";"dont.sucres.ppj";"proteines.gp100";"proteines.ppj";"sel.gp100";"sel.ppj";"a.folique.mcgp100";"a.folique.ppj";"a.pantothenique.mgp100";"a.pantothenique.ppj";"amidon.gp100";"amidon.ppj";"calcium.mgp100";"calcium.ppj";"chlorure.mgp100";"chlorure.ppj";"cuivre.mgp100";"cuivre.ppj";"f.aliment.gp100";"f.aliment.ppj";"fer.mgp100";"fer.ppj";"fluorure.mgp100";"fluorure.ppj";"iode.mcgp100";"iode.ppj";"magnesium.mgp100";"magnesium.ppj";"manganese.mgp100";"manganese.ppj";"niacine.mgp100";"niacine.ppj";"phosphore.mgp100";"phosphore.ppj";"potassium.mgp100";"potassium.ppj";"riboflavine.mgp100";"riboflavine.ppj";"thiamine.mgp100";"thiamine.ppj";"vitamine.a.mcgp100";"vitamine.a.ppj";"vitamine.b12.mcgp100";"vitamine.b12.ppj";"vitamine.b6.mgp100";"vitamine.b6.ppj";"vitamine.c.mgp100";"vitamine.c.ppj";"vitamine.d.mcgp100";"vitamine.d.ppj";"vitamine.e.mgp100";"vitamine.e.ppj";"vitamine.k.mcgp100";"vitamine.k.ppj";"zinc.mgp100";"zinc.ppj"
"Auchan";"https://www.auchan.fr/minus-lait-demi-ecreme-sans-lactose-1l/pr-244292";"adult";"Minus lait demi écrémé sans lactose 1l";".";47;NA;197;NA;1,5;1;NA;NA;4,9;4,9;NA;NA;3,4;NA;0,13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/yoplait-petit-suisse-3-8-mg-12x60g/pr-658727";"adult";"YOPLAIT Petit-suisse 3.8% MG 12x60g";"Ingrédients : LAIT écrémé et crème pasteurisés - Poudre de LAIT écrémé - Ferments LACTIQUES - Papier traité au sorbate de potassium.   LAIT D’ORIGINE FRANCE";87;NA;364;NA;3,8;2,5;NA;NA;4,1;4,1;NA;NA;9;NA;0,13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-petit-suisse-10-4-mg-12x60g/pr-26944";"adult";"AUCHAN Petit-suisse 10.4% MG 12x60g";"Lait  écrémé pasteurisé, crème pasteurisée (contient  lait ), ferments lactiques (contient  lait ) , conservateur :  sorbate de calcium (papier traité).";141;NA;585;NA;10,4;6,9;NA;NA;3,5;3,5;NA;NA;8,3;NA;0,11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/gervais-petit-suisse-nature-9-5-mg-6x60g/pr-303253";"adult";"Gervais Petit suisse nature 9.5% MG 6x60g";"LAIT écrémé et crème pasteurisés (LAIT) ferments lactiques (LAIT) conservateur : sorbate de calcium (papier traité) ou E 203 (papier traité)";143;NA;586;NA;9,5;6,7;NA;NA;4,5;4,5;NA;NA;9,3;NA;0,08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/gervais-petit-suisse-nature-9-5-mg-12x60g/pr-304356";"adult";"Gervais Petit suisse nature 9.5% MG 12x60g";"LAIT écrémé et crème pasteurisés (LAIT) ferments lactiques (LAIT) conservateur : sorbate de calcium (papier traité) ou E 203 (papier traité)";143;NA;586;NA;9,5;6,7;NA;NA;4,5;4,5;NA;NA;9,3;NA;0,08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/yoplait-petit-suisse-3-6-mg-6x60g/pr-658725";"adult";"YOPLAIT Petit-suisse 3.6% MG 6x60g";"Ingrédients : LAIT écrémé et CREME pasteurisés - Poudre de LAIT écrémé - Ferments LACTIQUES - Papier traité au sorbate de potassium. LAIT D’ORIGINE FRANCE";87;NA;364;NA;3,8;2,5;NA;NA;4,1;4,1;NA;NA;9;NA;0,13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-petit-suisse-3-8-mg-12x60g/pr-652462";"adult";"AUCHAN Petit-suisse 3.8% MG 12x60g";"Lait  écrémé pasteurisé, crème pasteurisée (contient  lait ), ferments lactiques (contient  lait  ), conservateur :  sorbate de calcium (papier traité)";85;NA;358;NA;3,8;2,6;NA;NA;3,7;3,7;NA;NA;9,1;NA;0,12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/alsace-lait-petit-suise-nature-6x60g/pr-805586";"adult";"ALSACE LAIT Petit suise nature 6x60g";"LAIT pasteurisé,&#xa0;CREME pasteurisée 33%, ferments lactiques, conservateur : sorbate de potassium (papier traité). * Origine : France";143;4;594;4;10,4;7,1;9;21;4,3;4,3;1;3;8;10;0,1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-fromage-frais-nature-sucre-6x60g/pr-806606";"adult";"AUCHAN Fromage frais nature sucré 6x60g";"Fromage frais au  lait  demi-écrémé pasteurisé, sucre 7,3%, conservateur : sorbate de&#xa0;potassium (papier traité). Elaboré à partir de lait origine France.";112;NA;473;NA;3,6;2,3;NA;NA;10,7;10,3;NA;NA;9,3;NA;0,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Auchan";"https://www.auchan.fr/auchan-essentiel-petit-fromage-frais-nature-6x60g/pr-320862";"adult";"AUCHAN ESSENTIEL Petit fromage frais nature 6x60g";"Fromage frais au  lait  demi-écrémé pasteurisé, conservateur : sorbate de potassium (papier traité).  Elaboré à partir de lait origine France.";84,8;NA;355,9;NA;3,6;2,3;NA;NA;3,5;3,5;NA;NA;9,6;NA;0,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
