"","shop","URL","type","name","ingredients","Valeurs Energétiques en Kj (ap100g/ml)","Valeurs Energétiques en Kcal (ap100g/ml)","Matières grasses (en g) (ap100g/ml)","dont acides gras saturés (en g) (ap100g/ml)","Glucides (en g) (ap100g/ml)","dont sucres (en g) (ap100g/ml)","Protéines (en g) (ap100g/ml)","Sel (en g) (ap100g/ml)","Valeurs Energétiques en Kj (ap_jour_%)","Valeurs Energétiques en Kcal (ap_jour_%)","Matières grasses (en g) (ap_jour_%)","dont acides gras saturés (en g) (ap_jour_%)","Glucides (en g) (ap_jour_%)","dont sucres (en g) (ap_jour_%)","Protéines (en g) (ap_jour_%)","Sel (en g) (ap_jour_%)","Fibres alimentaires (en g) (ap100g/ml)","Fibres alimentaires (en g) (ap_jour_%)","Vitamine D (en µg) (ap100g/ml)","Calcium (en mg) (ap100g/ml)","Vitamine D (en µg) (ap_jour_%)","Calcium (en mg) (ap_jour_%)","Amidon (en g) (ap100g/ml)","Vitamine E (en mg) (ap100g/ml)","Vitamine C (en mg) (ap100g/ml)","Vitamine B6 (en mg) (ap100g/ml)","Potassium (en mg) (ap100g/ml)","Chlorure (en mg) (ap100g/ml)","Magnésium (en mg) (ap100g/ml)","Zinc (en mg) (ap100g/ml)","Amidon (en g) (ap_jour_%)","Vitamine E (en mg) (ap_jour_%)","Vitamine C (en mg) (ap_jour_%)","Vitamine B6 (en mg) (ap_jour_%)","Potassium (en mg) (ap_jour_%)","Chlorure (en mg) (ap_jour_%)","Magnésium (en mg) (ap_jour_%)","Zinc (en mg) (ap_jour_%)","Vitamine A (en µg) (ap100g/ml)","Vitamine K (en µg) (ap100g/ml)","Thiamine (en mg) (ap100g/ml)","Riboflavine (en mg) (ap100g/ml)","Niacine (en mg) (ap100g/ml)","Acide folique (en µg) (ap100g/ml)","Vitamine B12 (en µg) (ap100g/ml)","Acide pantothénique (en mg) (ap100g/ml)","Phosphore (en mg) (ap100g/ml)","Fer (en mg) (ap100g/ml)","Cuivre (en mg) (ap100g/ml)","Manganèse (en mg) (ap100g/ml)","Fluorure (en mg) (ap100g/ml)","Iode (en µg) (ap100g/ml)","Vitamine A (en µg) (ap_jour_%)","Vitamine K (en µg) (ap_jour_%)","Thiamine (en mg) (ap_jour_%)","Riboflavine (en mg) (ap_jour_%)","Niacine (en mg) (ap_jour_%)","Acide folique (en µg) (ap_jour_%)","Vitamine B12 (en µg) (ap_jour_%)","Acide pantothénique (en mg) (ap_jour_%)","Phosphore (en mg) (ap_jour_%)","Fer (en mg) (ap_jour_%)","Cuivre (en mg) (ap_jour_%)","Manganèse (en mg) (ap_jour_%)","Fluorure (en mg) (ap_jour_%)","Iode (en µg) (ap_jour_%)"
"2","Auchan","https://www.auchan.fr/minus-lait-demi-ecreme-sans-lactose-1l/pr-244292","adult","Minus lait demi écrémé sans lactose 1l",".","
            197
        ","
            47
        ","
            1.5
        ","
            1
        ","
            4.9
        ","
            4.9
        ","
            3.4
        ","
            .13
        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Auchan","https://www.auchan.fr/yoplait-petit-suisse-3-8-mg-12x60g/pr-658727","adult","YOPLAIT Petit-suisse 3.8% MG 12x60g","Ingrédients : LAIT écrémé et crème pasteurisés - Poudre de LAIT écrémé - Ferments LACTIQUES - Papier traité au sorbate de potassium.   LAIT D’ORIGINE FRANCE","
            364
        ","
            87
        ","
            3.8
        ","
            2.5
        ","
            4.1
        ","
            4.1
        ","
            9
        ","
            0.13
        ",NA,NA,NA,NA,NA,NA,NA,NA,"
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Auchan","https://www.auchan.fr/auchan-petit-suisse-10-4-mg-12x60g/pr-26944","adult","AUCHAN Petit-suisse 10.4% MG 12x60g","Lait  écrémé pasteurisé, crème pasteurisée (contient  lait ), ferments lactiques (contient  lait ) , conservateur :  sorbate de calcium (papier traité).","
            585
        ","
            141
        ","
            10.4
        ","
            6.9
        ","
            3.5
        ","
            3.5
        ","
            8.3
        ","
            0.11
        ",NA,NA,NA,NA,NA,NA,NA,NA,"
            0
        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Auchan","https://www.auchan.fr/gervais-petit-suisse-nature-9-5-mg-6x60g/pr-303253","adult","Gervais Petit suisse nature 9.5% MG 6x60g","LAIT écrémé et crème pasteurisés (LAIT) ferments lactiques (LAIT) conservateur : sorbate de calcium (papier traité) ou E 203 (papier traité)","
            586
        ","
            143
        ","
            9.5
        ","
            6.7
        ","
            4.5
        ","
            4.5
        ","
            9.3
        ","
            0.08
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Auchan","https://www.auchan.fr/gervais-petit-suisse-nature-9-5-mg-12x60g/pr-304356","adult","Gervais Petit suisse nature 9.5% MG 12x60g","LAIT écrémé et crème pasteurisés (LAIT) ferments lactiques (LAIT) conservateur : sorbate de calcium (papier traité) ou E 203 (papier traité)","
            586
        ","
            143
        ","
            9.5
        ","
            6.7
        ","
            4.5
        ","
            4.5
        ","
            9.3
        ","
            0.08
        ",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Auchan","https://www.auchan.fr/yoplait-petit-suisse-3-6-mg-6x60g/pr-658725","adult","YOPLAIT Petit-suisse 3.6% MG 6x60g","Ingrédients : LAIT écrémé et CREME pasteurisés - Poudre de LAIT écrémé - Ferments LACTIQUES - Papier traité au sorbate de potassium. LAIT D’ORIGINE FRANCE","
            364
        ","
            87
        ","
            3.8
        ","
            2.5
        ","
            4.1
        ","
            4.1
        ","
            9
        ","
            0.13
        ",NA,NA,NA,NA,NA,NA,NA,NA,"
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Auchan","https://www.auchan.fr/auchan-petit-suisse-3-8-mg-12x60g/pr-652462","adult","AUCHAN Petit-suisse 3.8% MG 12x60g","Lait  écrémé pasteurisé, crème pasteurisée (contient  lait ), ferments lactiques (contient  lait  ), conservateur :  sorbate de calcium (papier traité)","
            358
        ","
            85
        ","
            3.8
        ","
            2.6
        ","
            3.7
        ","
            3.7
        ","
            9.1
        ","
            0.12
        ",NA,NA,NA,NA,NA,NA,NA,NA,"
            0
        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Auchan","https://www.auchan.fr/alsace-lait-petit-suise-nature-6x60g/pr-805586","adult","ALSACE LAIT Petit suise nature 6x60g","LAIT pasteurisé,&#xa0;CREME pasteurisée 33%, ferments lactiques, conservateur : sorbate de potassium (papier traité). * Origine : France","
            594
        ","
            143
        ","
            10.4
        ","
            7.1
        ","
            4.3
        ","
            4.3
        ","
            8
        ","
            0.1
        ","
            4
        ","
            4
        ","
            9
        ","
            21
        ","
            1
        ","
            3
        ","
            10
        ","
            1
        ","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Auchan","https://www.auchan.fr/auchan-fromage-frais-nature-sucre-6x60g/pr-806606","adult","AUCHAN Fromage frais nature sucré 6x60g","Fromage frais au  lait  demi-écrémé pasteurisé, sucre 7,3%, conservateur : sorbate de&#xa0;potassium (papier traité). Elaboré à partir de lait origine France.","
            473
        ","
            112
        ","
            3.6
        ","
            2.3
        ","
            10.7
        ","
            10.3
        ","
            9.3
        ","
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"
            0
        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Auchan","https://www.auchan.fr/auchan-essentiel-petit-fromage-frais-nature-6x60g/pr-320862","adult","AUCHAN ESSENTIEL Petit fromage frais nature 6x60g","Fromage frais au  lait  demi-écrémé pasteurisé, conservateur : sorbate de potassium (papier traité).  Elaboré à partir de lait origine France.","
            355.9
        ","
            84.8
        ","
            3.6
        ","
            2.3
        ","
            3.5
        ","
            3.5
        ","
            9.6
        ","
            0.1
        ",NA,NA,NA,NA,NA,NA,NA,NA,"
            0
        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
